id,Data,Produto,Categoria,Quantidade,Preço
1804240603,2023-01-07,Milk,Dairy,19949,1.4
1804240604,2023-01-07,Cabbage,Vegetables,6599,0.72
1804240605,2023-01-07,Yogurt,Dairy,10096,3.53
1804240606,2023-01-07,Yogurt,Dairy,22921,2.45
1804240607,2023-01-07,Oats,Grains,22211,0.7
1804240608,2023-01-07,Milk,Dairy,2511,1.38
1804240609,2023-01-07,Peaches,Fruits,43402,3.85
1804240610,2023-01-07,Chicken,Livestock,25556,3.25
1804240611,2023-01-07,Strawberries,Fruits,3091,5.52
1804240612,2023-01-07,Milk,Dairy,14538,1.01
1804240613,2023-01-07,Barley,Grains,39866,0.76
1804240614,2023-01-07,Tomatoes,Vegetables,5756,2.49
1804240615,2023-01-08,Butter,Dairy,809,4.76
1804240616,2023-01-08,Wheat,Grains,33350,0.43
1804240617,2023-01-08,Oranges,Fruits,33433,2.36
1804240618,2023-01-08,Carrots,Vegetables,28300,1.14
1804240619,2023-01-08,Beef,Livestock,746,12.0
1804240620,2023-01-08,Yogurt,Dairy,420,2.79
1804240621,2023-01-08,Rice,Grains,2910,1.09
1804240622,2023-01-08,Tomatoes,Vegetables,3039,2.69
1804240623,2023-01-08,Lettuce,Vegetables,7776,0.98
1804240624,2023-01-08,Strawberries,Fruits,71,4.92
1804240625,2023-01-08,Oats,Grains,11962,0.91
1804240626,2023-01-09,Peaches,Fruits,19365,3.94
1804240627,2023-01-09,Potatoes,Vegetables,3298,0.83
1804240628,2023-01-09,Milk,Dairy,23279,1.21
1804240629,2023-01-09,Lamb,Livestock,34531,13.75
1804240630,2023-01-09,Rice,Grains,3723,0.91
1804240631,2023-01-09,Grapes,Fruits,6650,4.52
1804240632,2023-01-09,Oranges,Fruits,14161,2.82
1804240633,2023-01-10,Peppers,Vegetables,19448,2.26
1804240634,2023-01-10,Yogurt,Dairy,28983,3.23
1804240635,2023-01-10,Potatoes,Vegetables,7031,0.76
1804240636,2023-01-10,Carrots,Vegetables,1925,1.27
1804240637,2023-01-10,Onions,Vegetables,29548,1.04
1804240638,2023-01-10,Chicken,Livestock,11636,3.0
1804240639,2023-01-10,Peppers,Vegetables,802,1.73
1804240640,2023-01-10,Milk,Dairy,15019,1.32
1804240641,2023-01-10,Beef,Livestock,23847,9.91
1804240642,2023-01-10,Potatoes,Vegetables,11716,0.8
1804240643,2023-01-10,Rice,Grains,536,0.97
1804240644,2023-01-10,Strawberries,Fruits,57,4.91
1804240645,2023-01-11,Yogurt,Dairy,13251,2.9
1804240646,2023-01-11,Grapes,Fruits,9006,3.83
1804240647,2023-01-11,Peaches,Fruits,4376,3.14
1804240648,2023-01-11,Onions,Vegetables,16805,1.15
1804240649,2023-01-11,Milk,Dairy,1595,1.27
1804240650,2023-01-11,Chicken,Livestock,950,2.95
1804240651,2023-01-11,Pork,Livestock,7605,6.43
1804240652,2023-01-11,Lamb,Livestock,2933,13.06
1804240653,2023-01-11,Strawberries,Fruits,44155,5.75
1804240654,2023-01-11,Pork,Livestock,254,6.75
1804240655,2023-01-11,Milk,Dairy,4672,1.04
1804240656,2023-01-12,Cheese,Dairy,2068,7.52
1804240657,2023-01-12,Peppers,Vegetables,519,1.88
1804240658,2023-01-12,Yogurt,Dairy,15583,3.14
1804240659,2023-01-12,Butter,Dairy,13,4.78
1804240660,2023-01-12,Blueberries,Fruits,26497,5.12
1804240661,2023-01-12,Strawberries,Fruits,4098,4.82
1804240662,2023-01-12,Tomatoes,Vegetables,4192,2.33
1804240663,2023-01-13,Blueberries,Fruits,15856,7.14
1804240664,2023-01-13,Onions,Vegetables,36861,0.96
1804240665,2023-01-13,Cabbage,Vegetables,32151,0.63
1804240666,2023-01-13,Wheat,Grains,20198,0.45
1804240667,2023-01-13,Rye,Grains,8924,1.0
1804240668,2023-01-13,Barley,Grains,16579,0.76
1804240669,2023-01-13,Oranges,Fruits,2508,2.64
1804240670,2023-01-13,Peaches,Fruits,25313,3.36
1804240671,2023-01-13,Rye,Grains,28080,0.77
1804240672,2023-01-13,Chicken,Livestock,1876,2.8
1804240673,2023-01-13,Rice,Grains,14188,1.0
1804240674,2023-01-13,Lettuce,Vegetables,26707,0.89
1804240675,2023-01-14,Rye,Grains,8053,0.96
1804240676,2023-01-14,Strawberries,Fruits,5734,4.14
1804240677,2023-01-14,Strawberries,Fruits,18178,4.63
1804240678,2023-01-14,Cheese,Dairy,29311,8.86
1804240679,2023-01-14,Peaches,Fruits,42667,4.14
1804240680,2023-01-14,Cabbage,Vegetables,4403,0.83
1804240681,2023-01-14,Chicken,Livestock,2025,3.39
1804240682,2023-01-15,Cheese,Dairy,1537,7.75
1804240683,2023-01-15,Lettuce,Vegetables,2621,0.99
1804240684,2023-01-15,Butter,Dairy,13899,5.07
1804240685,2023-01-15,Yogurt,Dairy,1250,3.57
1804240686,2023-01-15,Rice,Grains,5263,0.93
1804240687,2023-01-15,Tomatoes,Vegetables,5171,2.07
1804240688,2023-01-15,Corn,Grains,5736,0.63
1804240689,2023-01-15,Peppers,Vegetables,31401,1.64
1804240690,2023-01-15,Pork,Livestock,136,7.78
1804240691,2023-01-15,Potatoes,Vegetables,26403,0.72
1804240692,2023-01-15,Rice,Grains,641,0.89
1804240693,2023-01-15,Tomatoes,Vegetables,17991,2.94
1804240694,2023-01-15,Strawberries,Fruits,6089,4.91
1804240695,2023-01-15,Tomatoes,Vegetables,4663,2.11
1804240696,2023-01-15,Rye,Grains,19195,0.9
1804240697,2023-01-16,Lettuce,Vegetables,2531,1.13
1804240698,2023-01-16,Oats,Grains,18,0.86
1804240699,2023-01-16,Pork,Livestock,2128,6.43
1804240700,2023-01-16,Pork,Livestock,24056,6.88
1804240701,2023-01-16,Butter,Dairy,8854,5.58
1804240702,2023-01-16,Onions,Vegetables,9730,0.84
1804240703,2023-01-16,Lamb,Livestock,12219,10.14
1804240704,2023-01-16,Peppers,Vegetables,3801,1.94
1804240705,2023-01-16,Cheese,Dairy,8598,9.59
1804240706,2023-01-16,Strawberries,Fruits,14278,4.46
1804240707,2023-01-16,Barley,Grains,8410,0.76
1804240708,2023-01-16,Potatoes,Vegetables,23566,0.79
1804240709,2023-01-16,Pork,Livestock,5040,7.9
1804240710,2023-01-16,Yogurt,Dairy,12979,2.5
1804240711,2023-01-16,Yogurt,Dairy,1131,2.71
1804240712,2023-01-16,Potatoes,Vegetables,40485,0.93
1804240713,2023-01-16,Cheese,Dairy,16099,9.47
1804240714,2023-01-16,Blueberries,Fruits,14942,4.9
1804240715,2023-01-16,Potatoes,Vegetables,3245,0.75
1804240716,2023-01-17,Cabbage,Vegetables,86,0.66
1804240717,2023-01-17,Pork,Livestock,7257,6.03
1804240718,2023-01-17,Corn,Grains,7840,0.5
1804240719,2023-01-17,Potatoes,Vegetables,1190,0.72
1804240720,2023-01-17,Apples,Fruits,2526,2.95
1804240721,2023-01-17,Oats,Grains,3872,0.79
1804240722,2023-01-17,Butter,Dairy,30324,4.61
1804240723,2023-01-17,Potatoes,Vegetables,16268,0.86
1804240724,2023-01-17,Grapes,Fruits,15610,4.53
1804240725,2023-01-17,Peaches,Fruits,18082,3.07
1804240726,2023-01-17,Cheese,Dairy,2128,8.0
1804240727,2023-01-18,Oranges,Fruits,1822,3.12
1804240728,2023-01-18,Butter,Dairy,823,5.48
1804240729,2023-01-18,Tomatoes,Vegetables,7027,2.8
1804240730,2023-01-18,Rice,Grains,5617,1.11
1804240731,2023-01-18,Potatoes,Vegetables,27088,0.82
1804240732,2023-01-18,Peppers,Vegetables,9081,1.77
1804240733,2023-01-18,Lamb,Livestock,8088,12.99
1804240734,2023-01-18,Apples,Fruits,5396,2.72
1804240735,2023-01-18,Peppers,Vegetables,8150,1.71
1804240736,2023-01-18,Peaches,Fruits,4960,2.9
1804240737,2023-01-18,Cabbage,Vegetables,25300,0.83
1804240738,2023-01-19,Strawberries,Fruits,18268,4.53
1804240739,2023-01-19,Oats,Grains,1557,0.77
1804240740,2023-01-19,Oats,Grains,7013,0.73
1804240741,2023-01-19,Blueberries,Fruits,4687,5.99
1804240742,2023-01-19,Oats,Grains,3486,0.8
1804240743,2023-01-19,Rye,Grains,10134,0.75
1804240744,2023-01-19,Lettuce,Vegetables,5588,0.93
1804240745,2023-01-19,Milk,Dairy,438,1.31
1804240746,2023-01-19,Potatoes,Vegetables,13797,0.75
1804240747,2023-01-19,Yogurt,Dairy,10385,2.56
1804240748,2023-01-19,Butter,Dairy,17154,5.81
1804240749,2023-01-19,Yogurt,Dairy,5500,2.69
1804240750,2023-01-20,Oats,Grains,1058,0.8
1804240751,2023-01-20,Blueberries,Fruits,28709,6.62
1804240752,2023-01-20,Peppers,Vegetables,9920,1.72
1804240753,2023-01-20,Tomatoes,Vegetables,48263,2.57
1804240754,2023-01-20,Peppers,Vegetables,23333,1.61
1804240755,2023-01-20,Bananas,Fruits,22728,1.46
1804240756,2023-01-20,Butter,Dairy,4133,5.62
1804240757,2023-01-20,Grapes,Fruits,23198,4.72
1804240758,2023-01-20,Grapes,Fruits,15636,3.66
1804240759,2023-01-20,Oats,Grains,41256,0.92
1804240760,2023-01-20,Pork,Livestock,37630,7.43
1804240761,2023-01-20,Rye,Grains,6507,0.77
1804240762,2023-01-21,Tomatoes,Vegetables,16837,2.62
1804240763,2023-01-21,Pork,Livestock,3194,7.81
1804240764,2023-01-21,Beef,Livestock,3795,11.35
1804240765,2023-01-21,Lamb,Livestock,13588,10.88
1804240766,2023-01-21,Cheese,Dairy,16873,8.96
1804240767,2023-01-21,Yogurt,Dairy,20501,3.44
1804240768,2023-01-21,Milk,Dairy,2662,1.2
1804240769,2023-01-21,Peaches,Fruits,919,3.3
1804240770,2023-01-21,Oats,Grains,25395,0.76
1804240771,2023-01-21,Beef,Livestock,3424,9.89
1804240772,2023-01-21,Strawberries,Fruits,11786,4.26
1804240773,2023-01-21,Apples,Fruits,33079,3.07
1804240774,2023-01-21,Peaches,Fruits,2702,3.35
1804240775,2023-01-21,Onions,Vegetables,21027,1.03
1804240776,2023-01-22,Potatoes,Vegetables,11477,0.92
1804240777,2023-01-22,Beef,Livestock,37731,11.27
1804240778,2023-01-22,Milk,Dairy,22002,1.02
1804240779,2023-01-22,Peaches,Fruits,2154,3.19
1804240780,2023-01-22,Oats,Grains,23097,0.9
1804240781,2023-01-22,Cheese,Dairy,19074,8.45
1804240782,2023-01-22,Corn,Grains,2054,0.51
1804240783,2023-01-22,Carrots,Vegetables,823,1.21
1804240784,2023-01-22,Beef,Livestock,14416,9.86
1804240785,2023-01-22,Blueberries,Fruits,15729,7.13
1804240786,2023-01-22,Peppers,Vegetables,857,1.73
1804240787,2023-01-22,Butter,Dairy,12380,5.2
1804240788,2023-01-23,Butter,Dairy,30952,4.58
1804240789,2023-01-23,Oats,Grains,30907,0.82
1804240790,2023-01-23,Pork,Livestock,11272,6.64
1804240791,2023-01-23,Chicken,Livestock,4093,3.09
1804240792,2023-01-23,Lamb,Livestock,22365,14.32
1804240793,2023-01-23,Butter,Dairy,5571,5.57
1804240794,2023-01-23,Pork,Livestock,801,7.35
1804240795,2023-01-23,Potatoes,Vegetables,8946,0.79
1804240796,2023-01-23,Peaches,Fruits,3070,3.75
1804240797,2023-01-23,Rice,Grains,14145,1.02
1804240798,2023-01-23,Butter,Dairy,3593,5.77
1804240799,2023-01-24,Blueberries,Fruits,4459,5.14
1804240800,2023-01-24,Lettuce,Vegetables,4280,1.13
1804240801,2023-01-24,Corn,Grains,8452,0.49
1804240802,2023-01-24,Yogurt,Dairy,8683,2.41
1804240803,2023-01-24,Pork,Livestock,3065,5.65
1804240804,2023-01-24,Barley,Grains,1429,0.73
1804240805,2023-01-24,Tomatoes,Vegetables,18831,2.36
1804240806,2023-01-24,Onions,Vegetables,150,0.93
1804240807,2023-01-24,Lettuce,Vegetables,4840,1.2
1804240808,2023-01-24,Barley,Grains,11103,0.79
1804240809,2023-01-24,Corn,Grains,2500,0.55
1804240810,2023-01-24,Carrots,Vegetables,5426,1.06
1804240811,2023-01-24,Apples,Fruits,7485,2.86
1804240812,2023-01-24,Cabbage,Vegetables,975,0.69
1804240813,2023-01-24,Barley,Grains,29283,0.77
1804240814,2023-01-24,Apples,Fruits,897,2.91
1804240815,2023-01-24,Yogurt,Dairy,2629,2.43
1804240816,2023-01-24,Pork,Livestock,1939,6.14
1804240817,2023-01-25,Corn,Grains,1364,0.62
1804240818,2023-01-25,Chicken,Livestock,4995,2.65
1804240819,2023-01-25,Lettuce,Vegetables,8018,0.87
1804240820,2023-01-25,Milk,Dairy,19049,0.98
1804240821,2023-01-25,Cheese,Dairy,15356,8.9
1804240822,2023-01-25,Milk,Dairy,1310,1.16
1804240823,2023-01-25,Bananas,Fruits,5343,1.63
1804240824,2023-01-25,Blueberries,Fruits,15150,5.82
1804240825,2023-01-25,Chicken,Livestock,887,2.78
1804240826,2023-01-25,Blueberries,Fruits,10693,4.9
1804240827,2023-01-25,Beef,Livestock,8335,10.99
1804240828,2023-01-25,Chicken,Livestock,18295,2.63
1804240829,2023-01-26,Oats,Grains,42734,0.71
1804240830,2023-01-26,Onions,Vegetables,16309,1.04
1804240831,2023-01-26,Wheat,Grains,8497,0.42
1804240832,2023-01-26,Tomatoes,Vegetables,894,2.02
1804240833,2023-01-26,Lamb,Livestock,17671,13.74
1804240834,2023-01-26,Butter,Dairy,16511,4.3
1804240835,2023-01-26,Apples,Fruits,1143,3.34
1804240836,2023-01-26,Peppers,Vegetables,13386,1.89
1804240837,2023-01-26,Wheat,Grains,12530,0.55
1804240838,2023-01-27,Milk,Dairy,14595,1.26
1804240839,2023-01-27,Wheat,Grains,8607,0.51
1804240840,2023-01-27,Carrots,Vegetables,1134,1.18
1804240841,2023-01-27,Rye,Grains,28984,0.99
1804240842,2023-01-27,Cheese,Dairy,9411,6.88
1804240843,2023-01-27,Rice,Grains,37803,1.09
1804240844,2023-01-28,Blueberries,Fruits,12927,6.49
1804240845,2023-01-28,Potatoes,Vegetables,203,0.71
1804240846,2023-01-28,Carrots,Vegetables,6659,1.31
1804240847,2023-01-28,Pork,Livestock,9059,5.88
1804240848,2023-01-28,Oranges,Fruits,7822,2.5
1804240849,2023-01-28,Lamb,Livestock,28464,13.19
1804240850,2023-01-28,Butter,Dairy,17552,4.05
1804240851,2023-01-28,Butter,Dairy,12530,4.27
1804240852,2023-01-28,Oranges,Fruits,5952,2.28
1804240853,2023-01-28,Tomatoes,Vegetables,16210,2.74
1804240854,2023-01-28,Peppers,Vegetables,6508,2.29
1804240855,2023-01-29,Beef,Livestock,2615,11.92
1804240856,2023-01-29,Milk,Dairy,30833,1.17
1804240857,2023-01-29,Chicken,Livestock,1835,3.04
1804240858,2023-01-29,Chicken,Livestock,17487,3.14
1804240859,2023-01-29,Yogurt,Dairy,6420,2.72
1804240860,2023-01-29,Lamb,Livestock,23424,12.29
1804240861,2023-01-29,Butter,Dairy,16626,5.88
1804240862,2023-01-29,Carrots,Vegetables,4554,1.29
1804240863,2023-01-29,Milk,Dairy,6233,1.23
1804240864,2023-01-29,Carrots,Vegetables,3463,1.15
1804240865,2023-01-29,Yogurt,Dairy,3251,3.18
1804240866,2023-01-29,Pork,Livestock,11800,7.52
1804240867,2023-01-29,Bananas,Fruits,1348,1.72
1804240868,2023-01-29,Tomatoes,Vegetables,34551,2.28
1804240869,2023-01-29,Potatoes,Vegetables,8897,0.88
1804240870,2023-01-30,Beef,Livestock,256,10.86
1804240871,2023-01-30,Pork,Livestock,22330,8.08
1804240872,2023-01-30,Onions,Vegetables,33075,1.17
1804240873,2023-01-30,Potatoes,Vegetables,4240,0.71
1804240874,2023-01-30,Butter,Dairy,16618,4.86
1804240875,2023-01-30,Cheese,Dairy,630,6.95
1804240876,2023-01-30,Yogurt,Dairy,10338,2.83
1804240877,2023-01-30,Lamb,Livestock,23901,10.32
1804240878,2023-01-30,Chicken,Livestock,531,3.45
1804240879,2023-01-30,Yogurt,Dairy,17755,2.54
1804240880,2023-01-30,Chicken,Livestock,31991,3.06
1804240881,2023-01-31,Cheese,Dairy,1439,8.24
1804240882,2023-01-31,Corn,Grains,4864,0.54
1804240883,2023-01-31,Tomatoes,Vegetables,10008,2.4
1804240884,2023-01-31,Yogurt,Dairy,7887,3.32
1804240885,2023-01-31,Potatoes,Vegetables,971,0.85
1804240886,2023-01-31,Peaches,Fruits,19795,4.08
1804240887,2023-01-31,Chicken,Livestock,15627,3.56
1804240888,2023-01-31,Peppers,Vegetables,19612,1.96
1804240889,2023-01-31,Milk,Dairy,23044,1.16
1804240890,2023-01-31,Tomatoes,Vegetables,44344,2.96
1804240891,2023-01-31,Lamb,Livestock,7400,11.43
1804240892,2023-02-01,Yogurt,Dairy,1749,3.05
1804240893,2023-02-01,Beef,Livestock,3786,11.87
1804240894,2023-02-01,Potatoes,Vegetables,12894,0.64
1804240895,2023-02-01,Chicken,Livestock,4030,3.03
1804240896,2023-02-01,Tomatoes,Vegetables,1870,2.99
1804240897,2023-02-01,Oats,Grains,4197,0.88
1804240898,2023-02-01,Carrots,Vegetables,27487,1.36
1804240899,2023-02-01,Yogurt,Dairy,13080,2.91
1804240900,2023-02-01,Chicken,Livestock,2740,2.89
1804240901,2023-02-01,Bananas,Fruits,3740,1.26
1804240902,2023-02-01,Apples,Fruits,2715,2.98
1804240903,2023-02-01,Potatoes,Vegetables,4042,0.78
1804240904,2023-02-01,Chicken,Livestock,1622,2.94
1804240905,2023-02-01,Peaches,Fruits,1140,3.87
1804240906,2023-02-01,Cabbage,Vegetables,11753,0.69
1804240907,2023-02-02,Butter,Dairy,15144,5.82
1804240908,2023-02-02,Chicken,Livestock,19669,2.7
1804240909,2023-02-02,Beef,Livestock,6366,8.94
1804240910,2023-02-02,Carrots,Vegetables,935,1.42
1804240911,2023-02-02,Cabbage,Vegetables,11914,0.82
1804240912,2023-02-02,Oats,Grains,5908,0.87
1804240913,2023-02-02,Butter,Dairy,21270,5.81
1804240914,2023-02-02,Butter,Dairy,4633,5.02
1804240915,2023-02-02,Grapes,Fruits,2198,4.36
1804240916,2023-02-02,Butter,Dairy,2263,4.77
1804240917,2023-02-02,Oats,Grains,4904,0.88
1804240918,2023-02-03,Milk,Dairy,30079,1.11
1804240919,2023-02-03,Milk,Dairy,41544,1.23
1804240920,2023-02-03,Rice,Grains,12355,0.94
1804240921,2023-02-03,Milk,Dairy,3141,1.0
1804240922,2023-02-03,Apples,Fruits,7116,3.33
1804240923,2023-02-03,Pork,Livestock,15935,8.35
1804240924,2023-02-03,Milk,Dairy,27786,1.16
1804240925,2023-02-03,Onions,Vegetables,8327,1.1
1804240926,2023-02-03,Potatoes,Vegetables,11558,0.78
1804240927,2023-02-03,Pork,Livestock,20398,7.4
1804240928,2023-02-03,Apples,Fruits,4400,3.39
1804240929,2023-02-03,Beef,Livestock,12159,11.04
1804240930,2023-02-03,Grapes,Fruits,12934,3.47
1804240931,2023-02-03,Onions,Vegetables,5066,1.14
1804240932,2023-02-03,Bananas,Fruits,19382,1.8
1804240933,2023-02-03,Chicken,Livestock,635,2.97
1804240934,2023-02-03,Milk,Dairy,907,1.13
1804240935,2023-02-03,Cabbage,Vegetables,25807,0.69
1804240936,2023-02-03,Chicken,Livestock,17986,2.74
1804240937,2023-02-03,Oats,Grains,10361,0.88
1804240938,2023-02-03,Peaches,Fruits,27548,4.1
1804240939,2023-02-04,Cabbage,Vegetables,15000,0.84
1804240940,2023-02-04,Carrots,Vegetables,9929,1.32
1804240941,2023-02-04,Apples,Fruits,7247,3.19
1804240942,2023-02-04,Yogurt,Dairy,8898,3.12
1804240943,2023-02-04,Pork,Livestock,13247,6.87
1804240944,2023-02-04,Grapes,Fruits,12673,3.49
1804240945,2023-02-04,Cheese,Dairy,2829,9.08
1804240946,2023-02-04,Lettuce,Vegetables,25395,1.18
1804240947,2023-02-04,Yogurt,Dairy,9707,3.34
1804240948,2023-02-04,Pork,Livestock,11027,7.53
1804240949,2023-02-04,Cheese,Dairy,9241,8.18
1804240950,2023-02-04,Chicken,Livestock,5229,2.54
1804240951,2023-02-04,Blueberries,Fruits,4419,5.7
1804240952,2023-02-04,Lettuce,Vegetables,7753,1.04
1804240953,2023-02-05,Corn,Grains,25761,0.69
1804240954,2023-02-05,Blueberries,Fruits,5061,6.37
1804240955,2023-02-05,Strawberries,Fruits,5698,5.47
1804240956,2023-02-05,Tomatoes,Vegetables,12298,2.22
1804240957,2023-02-05,Chicken,Livestock,12428,2.63
1804240958,2023-02-05,Barley,Grains,14043,0.58
1804240959,2023-02-05,Potatoes,Vegetables,29467,0.71
1804240960,2023-02-05,Carrots,Vegetables,10535,1.22
1804240961,2023-02-05,Lettuce,Vegetables,15586,0.88
1804240962,2023-02-05,Apples,Fruits,2521,2.84
1804240963,2023-02-05,Milk,Dairy,10909,1.11
1804240964,2023-02-05,Apples,Fruits,15711,2.88
1804240965,2023-02-05,Chicken,Livestock,19443,2.62
1804240966,2023-02-05,Carrots,Vegetables,183,1.29
1804240967,2023-02-05,Rye,Grains,3969,0.99
1804240968,2023-02-06,Yogurt,Dairy,730,2.9
1804240969,2023-02-06,Cheese,Dairy,439,8.79
1804240970,2023-02-06,Tomatoes,Vegetables,39862,2.2
1804240971,2023-02-06,Lettuce,Vegetables,10604,0.84
1804240972,2023-02-06,Bananas,Fruits,2907,1.57
1804240973,2023-02-06,Blueberries,Fruits,9870,7.13
1804240974,2023-02-06,Lettuce,Vegetables,2030,0.99
1804240975,2023-02-06,Wheat,Grains,7611,0.43
1804240976,2023-02-06,Beef,Livestock,415,8.25
1804240977,2023-02-06,Chicken,Livestock,598,2.66
1804240978,2023-02-06,Butter,Dairy,159,4.71
1804240979,2023-02-06,Butter,Dairy,7171,5.22
1804240980,2023-02-06,Peppers,Vegetables,31701,1.66
1804240981,2023-02-06,Lamb,Livestock,19177,11.9
1804240982,2023-02-07,Corn,Grains,4313,0.51
1804240983,2023-02-07,Milk,Dairy,22539,1.07
1804240984,2023-02-07,Chicken,Livestock,40694,3.32
1804240985,2023-02-07,Onions,Vegetables,21278,0.95
1804240986,2023-02-07,Lamb,Livestock,6661,12.36
1804240987,2023-02-07,Corn,Grains,35680,0.68
1804240988,2023-02-07,Carrots,Vegetables,4015,0.98
1804240989,2023-02-07,Onions,Vegetables,4561,1.07
1804240990,2023-02-07,Onions,Vegetables,3610,0.88
1804240991,2023-02-07,Rye,Grains,2342,0.82
1804240992,2023-02-07,Carrots,Vegetables,578,1.11
1804240993,2023-02-07,Barley,Grains,1623,0.81
1804240994,2023-02-07,Potatoes,Vegetables,45041,0.91
1804240995,2023-02-07,Milk,Dairy,18212,1.26
1804240996,2023-02-07,Chicken,Livestock,3929,2.97
1804240997,2023-02-07,Cheese,Dairy,1558,7.45
1804240998,2023-02-07,Blueberries,Fruits,590,5.69
1804240999,2023-02-08,Chicken,Livestock,20340,3.16
1804241000,2023-02-08,Corn,Grains,14509,0.61
1804241001,2023-02-08,Oats,Grains,7453,0.88
1804241002,2023-02-08,Cheese,Dairy,43109,7.88
1804241003,2023-02-08,Butter,Dairy,16861,4.86
1804241004,2023-02-08,Pork,Livestock,7260,6.87
1804241005,2023-02-08,Beef,Livestock,21121,8.38
1804241006,2023-02-08,Lamb,Livestock,2964,11.95
1804241007,2023-02-08,Yogurt,Dairy,18518,2.98
1804241008,2023-02-09,Beef,Livestock,411,9.29
1804241009,2023-02-09,Lettuce,Vegetables,8210,1.12
1804241010,2023-02-09,Potatoes,Vegetables,5743,0.78
1804241011,2023-02-09,Lamb,Livestock,27131,11.33
1804241012,2023-02-09,Butter,Dairy,20461,5.41
1804241013,2023-02-09,Pork,Livestock,27460,7.15
1804241014,2023-02-09,Beef,Livestock,37164,10.4
1804241015,2023-02-09,Oranges,Fruits,24264,2.63
1804241016,2023-02-09,Butter,Dairy,30717,5.66
1804241017,2023-02-09,Pork,Livestock,20722,6.08
1804241018,2023-02-09,Chicken,Livestock,2899,3.46
